3.416: a16465.
71.584: a48.
72.063: a48.
72.272: a48.
72.752: a57.
72.961: a57.
73.166: a57.
73.650: a57.
73.855: a68.
74.333: a68.
74.559: a68.
75.055: a68.
75.277: a68.
75.469: a87.
75.965: a87.
76.174: a87.
76.652: a87.
76.876: a87.
77.341: a87.
77.547: a87.
77.755: a87.
78.235: a87.
78.459: a87.
78.955: a87.
79.162: a87.
79.645: a87.
79.850: a87.
80.059: a87.
80.541: a87.
80.746: a87.
81.225: a87.
81.449: a87.
81.913: a87.
82.153: a87.
82.345: a87.
82.844: a87.
83.051: a87.
83.530: a87.
83.751: a87.
84.247: a87.
84.456: a87.
84.662: a87.
85.160: a87.
85.366: a87.
85.846: a87.
86.070: a87.
86.549: a87.
86.759: a87.
86.981: a87.
87.460: a87.
87.671: a87.
88.148: a87.
88.372: a87.
88.852: a87.
89.075: a87.
89.283: a87.
89.284: end
89.284: chkpt[4]=2
89.337: chkpt[7]=0
89.337: chkpt[32]=2
89.338: chkpt[48]=2
89.338: chkpt[57]=2
89.339: chkpt[68]=2
89.339: chkpt[87]=2
89.339: 502
89.339: 502
89.340: 500
89.340: 502
89.340: 502
89.340: 502
89.340: 502
89.341: start
89.760: a4.
89.985: a4.
90.462: a4.
90.686: a4.
91.150: a4.
91.374: a4.
91.582: a4.
92.046: a4.
92.253: a4.
92.736: a4.
92.943: a4.
93.424: a32.
93.645: a32.
93.852: a32.
94.336: a7.
94.556: a7.
95.039: a7.
95.262: a7.
95.723: a7.
95.949: a48.
96.158: a48.
96.636: a48.
96.845: a57.
97.324: a57.
97.549: a68.
98.042: a68.
98.249: a87.
98.457: a87.
98.937: a87.
99.147: a87.
99.627: a87.
99.832: a87.
100.328: a87.
100.536: a87.
100.743: a87.
101.224: a87.
101.450: a87.
101.930: a87.
102.150: a87.
102.614: a87.
102.838: a87.
103.048: a87.
103.544: a87.
103.750: a87.
104.229: a87.
104.453: a87.
104.936: a87.
105.156: a87.
105.381: a87.
105.844: a87.
106.068: a87.
106.551: a87.
106.772: a87.
106.772: end
106.772: chkpt[4]=4
106.773: chkpt[7]=1
106.811: chkpt[32]=4
106.813: chkpt[48]=4
106.815: chkpt[57]=4
106.816: chkpt[68]=4
106.817: chkpt[87]=4
106.817: 502
106.818: 502
106.818: 502
106.819: 502
106.819: 502
106.820: 502
106.820: 502
106.821: start
107.290: a4.
107.499: a4.
107.978: a4.
108.204: a4.
108.410: a4.
108.889: a4.
109.113: a4.
109.595: a4.
109.817: a32.
110.299: a32.
110.506: a32.
110.730: a65535.
111.193: a42.
111.209: recovery: 41
111.417: a41.
111.894: a41.
112.103: a41.
112.582: a41.
112.809: a41.
113.030: a48.
113.511: a57.
113.719: a68.
114.213: a68.
114.437: a87.
114.901: a87.
115.125: a87.
115.604: a87.
115.815: a87.
116.036: a87.
116.517: a87.
116.742: a87.
117.235: a87.
117.444: a87.
117.923: a87.
118.146: a87.
118.354: a87.
118.836: a87.
119.058: a87.
119.539: a87.
119.761: a87.
119.762: end
119.763: chkpt[4]=8
119.778: chkpt[7]=2
119.779: chkpt[32]=8
119.780: chkpt[41]=0
119.821: chkpt[48]=8
119.822: chkpt[57]=8
119.823: chkpt[68]=8
119.825: chkpt[87]=8
119.825: 502
119.826: 502
119.827: 502
119.827: 502
119.828: 502
119.828: 502
119.829: 502
120.304: a87.
120.305: 502
120.305: 502
120.306: 502
120.306: 502
120.307: 502
120.308: 502
120.308: 502
120.309: start
120.528: a4.
121.008: a4.
121.231: a4.
121.439: a4.
121.906: a4.
122.138: a4.
122.622: a4.
122.847: a32.
123.375: a41.
123.598: a41.
124.081: a41.
124.289: a41.
124.509: a41.
124.989: a48.
125.198: a57.
125.695: a68.
125.902: a87.
126.382: a87.
126.587: a87.
126.796: a87.
127.277: a87.
127.502: a87.
127.998: a87.
128.218: a87.
128.700: a87.
128.908: a87.
129.131: a87.
129.593: a87.
129.820: a87.
130.300: a87.
130.301: end
130.302: chkpt[4]=16
130.330: chkpt[7]=4
130.332: chkpt[32]=16
130.334: chkpt[41]=1
130.335: chkpt[48]=16
130.336: chkpt[57]=16
130.338: chkpt[68]=16
130.339: chkpt[87]=16
130.352: 502
130.353: 502
130.354: 502
130.355: 502
130.355: 502
130.356: 502
130.357: 502
130.358: start
130.558: a4.
131.021: a4.
131.249: a4.
131.724: a4.
131.936: a4.
132.156: a4.
132.655: a4.
132.863: a4.
133.358: a32.
133.580: a65535.
134.061: a9.
134.063: recovery: 41
134.284: a41.
134.491: a41.
134.957: a41.
135.179: a41.
135.660: a41.
135.884: a57.
136.380: a68.
136.604: a87.
136.796: a87.
137.275: a87.
137.499: a87.
137.977: a87.
138.185: a87.
138.682: a87.
138.888: a87.
139.096: a87.
139.576: a87.
139.576: end
139.592: chkpt[4]=32
139.593: chkpt[7]=8
139.594: chkpt[32]=32
139.633: chkpt[41]=0
139.634: chkpt[48]=32
139.634: chkpt[57]=32
139.635: chkpt[68]=32
139.636: chkpt[87]=32
139.636: 502
139.636: 502
139.636: 502
139.637: 502
139.637: 502
139.637: 502
139.638: 502
139.638: start
139.843: a87.
140.321: a4.
140.545: a4.
141.024: a4.
141.248: a4.
141.728: a4.
141.953: a4.
142.177: a4.
142.655: a32.
142.866: a41.
143.345: a41.
143.567: a41.
144.063: a41.
144.273: a41.
144.765: a57.
144.976: a68.
145.197: a87.
145.680: a87.
145.888: a87.
146.365: a87.
146.588: a87.
147.084: a87.
147.308: a87.
147.535: a87.
147.996: a87.
148.219: a87.
148.220: end
148.220: chkpt[4]=32
148.239: chkpt[7]=16
148.239: chkpt[32]=64
148.240: chkpt[41]=1
148.276: chkpt[48]=64
148.277: chkpt[57]=64
148.278: chkpt[68]=64
148.279: chkpt[87]=64
148.280: 502
148.280: 502
148.281: 502
148.282: 502
148.282: 502
148.283: 502
148.283: 502
148.283: start
148.756: a4.
148.756: 502
148.757: 502
148.757: 502
148.757: 502
148.758: 502
148.758: 502
148.758: 502
148.759: start
148.981: a4.
149.441: a4.
149.665: a4.
150.135: a4.
150.340: a4.
150.548: a4.
151.024: a4.
151.264: a32.
151.762: a65535.
151.969: a33.
151.984: recovery: 32
152.463: a32.
152.690: a32.
153.166: a65535.
153.377: a39.
153.393: recovery: 7
153.598: a7.
154.081: a7.
154.302: a7.
154.797: a7.
155.008: a7.
155.501: a48.
155.709: a87.
155.917: a87.
156.398: a87.
156.605: a87.
157.086: a87.
157.308: a87.
157.788: a87.
158.011: a87.
158.219: a87.
158.699: a87.
158.926: a87.
158.926: end
158.927: chkpt[4]=64
158.928: chkpt[7]=0
158.967: chkpt[32]=0
158.968: chkpt[41]=2
158.970: chkpt[48]=128
158.971: chkpt[57]=64
158.972: chkpt[68]=128
158.973: chkpt[87]=64
158.973: 502
158.974: 502
158.975: 500
158.976: 502
158.976: 502
158.977: 502
158.977: 502
158.978: start
159.448: a4.
159.671: a4.
160.149: a4.
160.373: a4.
160.853: a4.
161.079: a4.
161.285: a4.
161.763: a4.
161.975: a32.
162.451: a32.
162.676: a32.
163.170: a32.
163.380: a7.
163.604: a7.
164.098: a7.
164.308: a7.
164.786: a7.
165.009: a7.
165.491: a57.
165.712: a87.
166.192: a87.
166.416: a87.
166.624: a87.
167.107: a87.
167.330: a87.
167.809: a87.
168.018: a87.
168.513: a87.
168.720: a87.
168.927: a87.
168.927: end
168.928: chkpt[4]=128
168.978: chkpt[7]=1
168.979: chkpt[32]=1
168.980: chkpt[41]=4
168.981: chkpt[48]=256
168.982: chkpt[57]=128
168.983: chkpt[68]=256
168.984: chkpt[87]=128
168.984: 502
168.985: 502
168.985: 502
168.986: 502
168.986: 502
168.987: 502
168.988: 502
168.988: start
169.444: a4.
169.649: a4.
170.136: a4.
170.354: a4.
^C> 
