8.464: a16464.
45.072: chkpt[4]=0
45.072: chkpt[32]=2
45.073: chkpt[39]=2
45.073: chkpt[41]=0
45.074: chkpt[50]=2
45.074: chkpt[60]=1
45.075: chkpt[69]=2
45.076: chkpt[85]=2
45.077: 502
45.078: 502
45.078: 502
45.078: 502
45.079: 502
45.079: 502
45.079: 502
45.080: start
45.282: a4.
45.759: a4.
45.971: a4.
46.449: a4.
46.654: a4.
46.849: a4.
47.326: a4.
47.534: a32.
48.017: a41.
48.222: a41.
48.702: a41.
48.910: a50.
49.118: a60.
49.596: a69.
49.806: a85.
50.268: a85.
50.476: a85.
50.684: a85.
51.148: a85.
51.356: a85.
51.819: a85.
52.027: a85.
52.506: a85.
52.714: a85.
52.925: a85.
53.402: a85.
53.403: end
53.404: chkpt[0]=4
53.433: chkpt[4]=1
53.434: chkpt[32]=4
53.436: chkpt[39]=4
53.437: chkpt[41]=1
53.439: chkpt[50]=4
53.441: chkpt[60]=2
53.444: chkpt[69]=4
53.460: chkpt[85]=4
53.461: 502
53.462: 502
53.464: 502
53.465: 502
53.466: 502
53.467: 502
53.468: 502
53.469: start
53.665: a4.
54.147: a4.
54.354: a4.
54.831: a4.
55.040: a4.
55.249: a4.
55.712: a4.
55.935: a32.
56.415: a32.
56.622: a65535.
57.102: a7.
57.103: recovery: 39
57.313: a39.
57.520: a39.
57.997: a50.
58.206: a60.
58.669: a85.
58.877: a85.
59.375: a85.
59.566: a85.
59.772: a85.
60.253: a85.
60.460: a85.
60.942: a85.
61.163: a85.
61.164: end
61.165: chkpt[0]=8
61.181: chkpt[4]=2
61.183: chkpt[32]=8
61.184: chkpt[39]=0
61.196: chkpt[41]=2
61.198: chkpt[50]=8
61.914: a85.
61.915: chkpt[60]=4
61.916: chkpt[69]=8
61.936: chkpt[85]=8
61.937: 502
61.937: 502
61.938: 502
61.938: 502
61.939: 502
61.939: 502
61.940: 502
61.940: start
62.416: a4.
62.626: a4.
62.834: a4.
63.328: a4.
63.537: a4.
64.001: a32.
64.210: a39.
64.418: a39.
64.895: a50.
65.103: a60.
65.582: a85.
65.805: a85.
65.998: a85.
66.461: a85.
66.672: a85.
67.149: a85.
67.360: a85.
67.836: a85.
67.836: end
67.864: chkpt[0]=16
67.865: chkpt[4]=4
67.866: chkpt[32]=16
67.866: chkpt[39]=1
67.867: chkpt[41]=4
67.867: chkpt[50]=16
67.868: chkpt[60]=8
67.893: chkpt[69]=16
67.893: chkpt[85]=16
67.894: 502
67.894: 502
67.894: 502
67.895: 502
67.895: 502
67.895: 502
67.896: 502
67.897: start
68.100: a4.
68.580: a4.
68.772: a4.
68.978: a4.
69.460: a32.
69.665: a32.
70.147: a65535.
70.353: a39.
70.354: recovery: 42
70.562: a42.
71.027: a42.
71.233: a50.
71.713: a69.
71.919: a85.
72.402: a85.
72.606: a85.
72.814: a85.
73.297: a85.
73.518: a85.
73.518: end
73.518: chkpt[0]=32
73.519: chkpt[4]=8
73.534: chkpt[32]=32
73.534: chkpt[39]=2
73.535: chkpt[41]=8
73.576: chkpt[42]=0
73.576: chkpt[50]=32
73.577: chkpt[60]=16
73.577: chkpt[69]=32
73.578: chkpt[85]=32
73.578: 502
73.578: 502
73.578: 502
73.578: 502
73.579: 502
73.579: 502
73.579: 502
73.579: start
74.040: a4.
74.264: a4.
74.730: a4.
74.936: a4.
75.161: a32.
75.623: a42.
75.846: a42.
76.311: a42.
76.518: a60.
76.998: a85.
77.208: a85.
77.401: a85.
77.861: a85.
78.088: a85.
78.564: a85.
78.564: end
78.565: chkpt[0]=64
78.581: chkpt[4]=16
78.581: chkpt[32]=64
78.582: chkpt[39]=4
78.599: chkpt[41]=16
78.600: chkpt[42]=1
78.601: chkpt[50]=32
78.804: a85.
78.804: chkpt[60]=32
78.830: chkpt[69]=32
78.831: chkpt[85]=64
78.831: 502
78.831: 502
78.832: 502
78.832: 502
78.832: 502
78.832: 502
78.833: 502
78.833: start
79.294: a4.
79.521: a4.
79.725: a4.
80.192: a4.
80.413: a65535.
80.893: a65535.
81.102: a32.
81.103: recovery: 33
81.580: a33.
81.803: a65535.
82.012: a39.
82.014: recovery: 42
82.476: a42.
82.684: a42.
83.165: a50.
83.371: a85.
83.850: a85.
84.043: a85.
84.267: a85.
84.746: a85.
84.953: a85.
85.420: a85.
85.421: end
85.423: chkpt[0]=128
85.425: chkpt[4]=32
85.449: chkpt[32]=64
85.450: chkpt[33]=0
85.451: chkpt[39]=8
85.452: chkpt[41]=32
85.453: chkpt[42]=0
85.454: chkpt[50]=64
85.455: chkpt[60]=32
85.475: chkpt[69]=64
85.476: chkpt[85]=128
85.476: 502
85.476: 502
85.477: 502
85.477: 502
85.477: 502
85.478: 502
85.478: 502
85.480: start
85.684: a4.
86.149: a4.
86.372: a4.
86.581: a4.
87.059: a33.
87.267: a33.
87.730: a42.
87.938: a42.
88.418: a42.
88.612: a60.
88.836: a85.
89.299: a85.
89.507: a85.
89.972: a85.
90.161: a85.
90.369: a85.
90.385: end
90.386: chkpt[0]=256
90.416: chkpt[4]=64
90.417: chkpt[32]=128
90.418: chkpt[33]=1
90.419: chkpt[39]=16
90.420: chkpt[41]=64
90.420: chkpt[42]=1
90.894: a85.
90.931: chkpt[50]=128
90.933: chkpt[60]=64
90.935: chkpt[69]=64
90.937: chkpt[85]=256
90.938: 502
90.939: 502
90.940: 502
90.940: 502
90.941: 502
90.942: 502
90.942: 502
90.943: start
91.138: a4.
91.617: a4.
91.827: a4.
92.306: a33.
92.512: a33.
92.704: a33.
93.188: a65535.
93.411: a9.
93.412: recovery: 41
93.888: a41.
94.095: a41.
94.558: a50.
94.785: a85.
94.991: a85.
95.458: a85.
95.663: a85.
96.143: a85.
96.366: a85.
96.831: a85.
96.832: end
96.832: chkpt[0]=512
96.872: chkpt[4]=128
96.873: chkpt[32]=256
96.873: chkpt[33]=2
96.873: chkpt[39]=32
96.874: chkpt[41]=0
96.874: chkpt[42]=2
96.875: chkpt[50]=256
96.875: chkpt[60]=64
96.875: chkpt[69]=128
96.876: chkpt[85]=512
96.894: 502
96.895: 502
96.896: 502
96.896: 502
96.897: 502
96.897: 502
96.897: 502
96.898: start
97.102: a4.
97.310: a4.
97.776: a4.
97.981: a4.
98.464: a33.
98.686: a41.
99.149: a41.
99.373: a41.
99.580: a50.
100.045: a85.
100.271: a85.
100.748: a85.
100.973: a85.
101.452: a85.
101.660: a85.
101.851: a85.
101.851: end
101.852: chkpt[0]=1024
101.893: chkpt[4]=256
101.896: chkpt[32]=512
101.897: chkpt[33]=4
101.897: chkpt[39]=64
101.898: chkpt[41]=1
101.899: chkpt[42]=4
101.900: chkpt[50]=512
101.901: chkpt[60]=64
101.903: chkpt[69]=256
101.904: chkpt[85]=1024
101.913: 502
101.922: 502
101.922: 502
101.923: 502
101.923: 502
101.923: 502
101.924: 502
101.924: start
102.377: a4.
102.600: a4.
103.080: a4.
103.288: a4.
103.767: a33.
103.976: a33.
104.184: a65535.
104.663: a42.
104.664: recovery: 39
104.874: a39.
105.351: a39.
105.576: a50.
106.056: a85.
106.265: a85.
106.469: a85.
106.937: a85.
107.142: a85.
107.607: a85.
107.812: a85.
107.879: end
107.879: chkpt[0]=2048
107.880: chkpt[4]=512
107.880: chkpt[32]=1024
107.880: chkpt[33]=8
107.881: chkpt[39]=0
107.881: chkpt[41]=2
107.881: chkpt[42]=8
107.882: chkpt[50]=1024
107.882: chkpt[60]=64
107.882: chkpt[69]=512
107.883: chkpt[85]=2048
107.883: 502
107.883: 502
107.883: 502
107.883: 502
107.883: 502
107.884: 502
107.884: 502
107.884: start
108.358: a4.
108.550: a4.
108.741: a4.
109.222: a4.
109.430: a39.
109.910: a39.
110.117: a39.
110.343: a39.
110.806: a60.
111.013: a85.
111.492: a85.
111.700: a85.
112.164: a85.
112.371: a85.
112.582: a85.
112.595: end
112.595: chkpt[0]=4096
112.596: chkpt[4]=1024
112.611: chkpt[32]=2048
112.612: chkpt[33]=16
112.612: chkpt[39]=1
112.628: chkpt[41]=4
112.628: chkpt[42]=16
113.369: a85.
113.370: chkpt[50]=1024
113.372: chkpt[60]=128
113.373: chkpt[69]=512
113.375: chkpt[85]=4096
113.376: 502
113.376: 502
113.377: 502
113.378: 502
113.379: 502
113.379: 502
113.380: 502
113.381: start
113.848: a4.
114.054: a4.
114.533: a4.
114.744: a4.
115.224: a33.
115.448: a65535.
115.639: a9.
115.640: recovery: 41
116.119: a41.
116.324: a41.
116.802: a50.
117.012: a85.
117.475: a85.
117.702: a85.
117.907: a85.
118.387: a85.
118.609: a85.
119.090: a85.
119.091: end
119.092: chkpt[0]=8192
119.093: chkpt[4]=2048
119.146: chkpt[32]=2048
119.147: chkpt[33]=32
119.148: chkpt[39]=2
119.149: chkpt[41]=0
119.151: chkpt[42]=32
119.152: chkpt[50]=2048
119.153: chkpt[60]=128
119.154: chkpt[69]=1024
119.154: chkpt[85]=8192
119.155: 502
119.155: 502
119.156: 502
119.156: 502
119.157: 502
119.157: 502
119.158: 502
119.158: start
119.355: a4.
119.847: a4.
120.056: a4.
120.266: a4.
120.731: a41.
120.939: a41.
121.402: a41.
121.623: a41.
122.103: a60.
122.294: a85.
122.518: a85.
122.998: a85.
123.205: a85.
123.685: a85.
123.893: a85.
123.909: end
123.911: chkpt[0]=16384
123.912: chkpt[4]=4096
123.929: chkpt[32]=4096
123.931: chkpt[33]=64
123.932: chkpt[39]=4
123.941: chkpt[41]=1
123.942: chkpt[42]=64
124.442: a85.
124.445: chkpt[50]=2048
124.447: chkpt[60]=256
124.449: chkpt[69]=1024
124.451: chkpt[85]=16384
124.452: 502
124.453: 502
124.453: 502
124.454: 502
124.455: 502
124.455: 502
124.456: 502
124.457: start
124.649: a4.
125.129: a4.
125.340: a4.
125.561: a4.
126.026: a65535.
126.252: a65535.
126.713: a30.
126.714: recovery: 32
126.921: a32.
127.128: a65535.
127.591: a41.
127.607: recovery: 9
127.799: a9.
128.282: a9.
128.486: a9.
128.679: a60.
129.158: a85.
129.366: a85.
129.846: a85.
130.054: a85.
130.533: a85.
130.757: a85.
130.757: end
130.758: chkpt[0]=32768
130.788: chkpt[4]=8192
130.789: chkpt[9]=1
130.789: chkpt[32]=0
130.790: chkpt[33]=64
130.790: chkpt[39]=8
130.790: chkpt[41]=2
131.447: a85.
131.480: chkpt[42]=128
131.481: chkpt[50]=2048
131.482: chkpt[60]=512
131.484: chkpt[69]=1024
131.486: chkpt[85]=32768
131.487: 502
131.488: 502
131.489: 502
131.489: 502
131.490: 502
131.491: 502
131.491: 502
131.491: start
131.688: a4.
132.170: a4.
132.378: a4.
132.903: a32.
133.113: a32.
133.318: a32.
133.785: a65535.
133.989: a8.
134.006: recovery: 10
134.485: a10.
134.696: a10.
135.157: a10.
135.365: a10.
135.572: a60.
136.055: a85.
136.260: a85.
136.726: a85.
136.947: a85.
137.142: a85.
137.619: a85.
137.619: end
137.620: chkpt[0]=65535
137.635: chkpt[4]=16384
137.635: chkpt[9]=2
137.636: chkpt[10]=0
137.669: chkpt[32]=1
137.669: chkpt[33]=128
137.670: chkpt[39]=16
137.670: chkpt[41]=4
137.671: chkpt[42]=256
137.671: chkpt[50]=4096
138.355: a85.
138.387: chkpt[60]=1024
138.389: chkpt[69]=1024
138.391: chkpt[85]=65535
138.392: 502
138.393: 502
138.394: 502
138.395: 502
138.395: 502
138.396: 502
138.396: 502
138.397: start
138.594: a4.
139.077: a4.
139.282: a4.
139.761: a32.
139.970: a32.
140.164: a10.
140.641: a10.
140.867: a10.
141.332: a10.
141.536: a10.
142.018: a60.
142.224: a65535.
142.435: a68.
142.436: recovery: 69
142.898: a69.
143.103: a69.
143.582: a65535.
143.806: a85.
143.806: recovery: 91
144.018: a91.
144.480: a91.
144.688: a91.
145.149: a91.
145.359: a91.
145.839: a91.
146.030: a91.
146.252: a91.
146.716: a91.
146.926: a91.
147.391: a91.
147.595: a91.
147.790: a91.
148.267: a91.
148.493: a91.
148.954: a91.
148.971: end
148.971: chkpt[4]=32768
148.971: chkpt[9]=4
148.986: chkpt[10]=1
148.987: chkpt[32]=2
148.987: chkpt[33]=256
149.003: chkpt[39]=32
149.003: chkpt[41]=8
149.004: chkpt[42]=512
149.022: chkpt[50]=4096
149.755: a91.
149.755: chkpt[60]=2048
149.756: chkpt[69]=0
149.757: chkpt[91]=0
149.757: 502
149.757: 502
149.758: 502
149.758: 502
149.758: 502
149.759: 502
149.759: 502
149.759: start
149.963: a4.
150.427: a4.
150.636: a4.
150.845: a32.
151.308: a10.
151.532: a10.
152.010: a10.
152.217: a10.
152.697: a10.
152.889: a50.
153.099: a69.
153.578: a91.
153.784: a91.
154.264: a91.
154.473: a91.
154.680: a91.
155.146: a91.
155.338: a91.
155.815: a91.
156.026: a91.
156.504: a91.
156.710: a91.
156.918: a91.
157.398: a91.
157.605: a91.
158.085: a91.
158.293: a91.
158.772: a91.
158.982: a91.
158.983: end
159.019: chkpt[4]=65535
159.020: chkpt[9]=8
159.020: chkpt[10]=2
159.021: chkpt[32]=4
159.022: chkpt[33]=512
159.023: chkpt[39]=64
159.023: chkpt[41]=16
159.024: chkpt[42]=1024
159.025: chkpt[50]=8192
159.026: chkpt[60]=2048
159.048: chkpt[69]=1
159.049: chkpt[91]=1
159.049: 502
159.050: 502
159.050: 502
159.051: 502
159.052: 502
159.052: 502
159.053: 502
159.053: start
159.252: a65535.
159.253: 502
159.253: 502
159.254: 502
159.254: 502
159.254: 502
159.255: 502
159.255: 502
159.255: start
159.714: a65535.
159.735: 502
159.736: 502
159.736: 502
159.736: 502
159.737: 502
159.737: 502
159.738: 502
159.738: start
159.943: a3.
159.944: recovery: 4
160.425: a4.
160.631: a4.
161.111: a4.
161.319: a4.
161.511: a4.
161.993: a4.
162.202: a32.
162.678: a10.
162.901: a10.
163.381: a10.
163.573: a10.
163.800: a69.
164.261: a69.
164.468: a91.
164.935: a91.
165.141: a91.
165.349: a91.
165.811: a91.
166.019: a91.
166.483: a91.
166.691: a91.
166.901: a91.
167.363: a91.
167.587: a91.
168.066: a91.
168.274: a91.
168.753: a91.
168.962: a91.
169.157: a91.
169.636: a91.
169.637: end
169.637: chkpt[4]=0
169.677: chkpt[9]=16
169.678: chkpt[10]=4
169.678: chkpt[32]=8
169.679: chkpt[33]=1024
169.679: chkpt[39]=128
169.680: chkpt[41]=32
169.681: chkpt[42]=2048
169.681: chkpt[50]=8192
169.682: chkpt[60]=4096
169.682: chkpt[69]=2
169.703: chkpt[91]=2
169.704: 502
169.704: 502
169.705: 502
169.705: 502
169.705: 502
169.706: 502
169.706: 502
169.706: start
169.911: a4.
170.392: a4.
170.598: a4.
171.081: a4.
171.286: a4.
171.494: a4.
171.958: a4.
172.169: a32.
172.645: a10.
172.868: a10.
173.334: a10.
173.540: a10.
173.747: a69.
174.228: a91.
174.436: a91.
174.901: a91.
175.123: a91.
175.331: a91.
175.812: a91.
176.018: a91.
176.498: a91.
176.705: a91.
177.188: a91.
177.393: a91.
177.601: a91.
177.601: end
177.602: chkpt[4]=1
177.669: chkpt[9]=32
177.669: chkpt[10]=8
177.670: chkpt[32]=16
177.670: chkpt[33]=2048
177.671: chkpt[39]=256
177.671: chkpt[41]=64
177.672: chkpt[42]=4096
177.672: chkpt[50]=8192
177.673: chkpt[60]=8192
177.673: chkpt[69]=4
177.673: chkpt[91]=4
177.674: 502
177.674: 502
177.674: 502
177.674: 502
177.675: 502
177.675: 502
177.675: 502
177.675: start
178.084: a4.
178.296: a4.
178.758: a4.
178.983: a4.
179.460: a4.
179.651: a4.
179.875: a4.
180.356: a4.
180.563: a10.
181.027: a10.
181.238: a10.
181.446: a10.
181.906: a69.
182.114: a91.
182.594: a91.
182.801: a91.
183.281: a91.
183.491: a91.
183.698: a91.
184.165: a91.
184.369: a91.
184.848: a91.
184.849: end
184.849: chkpt[4]=2
184.849: chkpt[9]=64
184.866: chkpt[10]=16
184.867: chkpt[32]=32
184.867: chkpt[33]=4096
184.918: chkpt[39]=512
184.920: chkpt[41]=128
184.921: chkpt[42]=8192
184.922: chkpt[50]=8192
184.924: chkpt[60]=16384
184.925: chkpt[69]=8
184.926: chkpt[91]=8
184.927: 502
184.927: 502
184.928: 502
184.929: 502
184.930: 502
184.930: 502
184.931: 502
184.932: start
185.109: a4.
185.590: a4.
185.780: a4.
185.989: a4.
186.468: a4.
186.692: a4.
187.172: a10.
187.380: a10.
187.846: a10.
188.068: a10.
188.262: a50.
188.739: a91.
188.965: a91.
189.430: a91.
189.634: a91.
189.841: a91.
190.306: a91.
190.532: a91.
191.009: a91.
191.009: end
191.010: chkpt[4]=4
191.040: chkpt[9]=128
191.041: chkpt[10]=32
191.041: chkpt[32]=64
191.042: chkpt[33]=8192
191.043: chkpt[39]=1024
191.043: chkpt[41]=256
191.069: chkpt[42]=16384
191.070: chkpt[50]=16384
191.071: chkpt[60]=16384
191.071: chkpt[69]=16
191.288: a91.
191.289: chkpt[91]=16
191.289: 502
191.290: 502
191.290: 502
191.291: 502
191.291: 502
191.292: 502
191.292: 502
191.293: start
191.770: a4.
191.979: a4.
192.440: a4.
192.649: a4.
192.857: a10.
193.335: a10.
193.545: a10.
194.023: a10.
194.231: a50.
194.709: a91.
194.933: a91.
195.143: a91.
195.620: a91.
195.831: a91.
196.312: a91.
196.516: a91.
196.516: end
196.586: chkpt[4]=8
196.586: chkpt[9]=256
196.587: chkpt[10]=64
196.587: chkpt[32]=128
196.588: chkpt[33]=16384
196.589: chkpt[39]=2048
196.589: chkpt[41]=512
196.590: chkpt[42]=32768
196.591: chkpt[50]=32768
196.592: chkpt[60]=16384
196.592: chkpt[69]=32
196.593: chkpt[91]=32
196.593: 502
196.594: 502
196.594: 502
196.594: 502
196.594: 502
196.595: 502
196.595: 502
196.596: start
197.065: a4.
197.273: a4.
197.465: a4.
197.945: a4.
198.153: a10.
198.632: a10.
198.840: a10.
199.320: a10.
199.527: a50.
199.719: a91.
200.202: a91.
200.407: a91.
200.886: a91.
201.096: a91.
201.302: a91.
201.782: a91.
201.782: end
201.783: chkpt[4]=16
201.783: chkpt[9]=512
201.848: chkpt[10]=128
201.848: chkpt[32]=256
201.849: chkpt[33]=32768
201.849: chkpt[39]=4096
201.850: chkpt[41]=1024
201.850: chkpt[42]=65535
201.850: chkpt[50]=65535
201.851: chkpt[60]=16384
201.851: chkpt[69]=64
201.852: chkpt[91]=64
201.852: 502
201.852: 502
201.852: 502
201.852: 502
201.853: 502
201.853: 502
201.853: 502
201.853: start
202.056: a4.
202.519: a4.
202.730: a4.
203.191: a4.
203.401: a4.
203.609: a10.
204.054: a10.
204.262: a10.
204.742: a10.
204.952: a60.
205.414: a91.
205.624: a91.
205.845: a91.
206.309: a91.
206.535: a91.
206.999: a91.
207.012: end
207.012: chkpt[4]=32
207.013: chkpt[9]=1024
207.028: chkpt[10]=256
207.029: chkpt[32]=256
207.029: chkpt[33]=65535
207.045: chkpt[39]=8192
207.045: chkpt[41]=2048
207.046: chkpt[60]=32768
207.072: chkpt[69]=64
207.073: chkpt[91]=128
207.073: 502
207.073: 502
207.073: 502
207.074: 502
207.074: 502
207.074: 502
207.074: 502
207.291: a91.
207.291: 502
207.292: 502
207.292: 502
207.292: 502
207.293: 502
207.293: 502
207.293: 502
207.294: start
207.758: a4.
207.963: a4.
208.188: a4.
208.634: a4.
208.842: a10.
209.324: a10.
209.545: a10.
210.027: a10.
210.233: a60.
210.425: a91.
210.920: a91.
211.131: a91.
211.595: a91.
211.800: a91.
212.298: a91.
212.299: end
212.327: chkpt[4]=64
212.329: chkpt[9]=2048
212.330: chkpt[10]=512
212.331: chkpt[32]=256
212.333: chkpt[39]=16384
212.334: chkpt[41]=4096
212.361: chkpt[60]=65535
212.362: chkpt[69]=64
212.364: chkpt[91]=256
212.364: 502
212.365: 502
212.366: 502
212.366: 502
212.367: 502
212.368: 502
212.369: 502
212.580: a91.
212.580: 502
212.581: 502
212.581: 502
212.581: 502
212.581: 502
212.581: 502
212.582: 502
212.582: start
213.041: a4.
213.251: a4.
213.457: a4.
213.936: a4.
214.161: a10.
214.643: a10.
214.850: a10.
215.346: a10.
215.535: a65535.
215.759: a91.
216.223: a91.
216.430: a91.
216.910: a91.
217.120: a91.
217.329: a91.
217.343: end
217.345: chkpt[4]=128
217.347: chkpt[9]=4096
217.361: chkpt[10]=1024
217.363: chkpt[32]=256
217.365: chkpt[39]=32768
217.376: chkpt[41]=8192
217.378: chkpt[69]=64
218.063: a91.
218.063: chkpt[91]=512
218.082: 502
218.083: 502
218.083: 502
218.083: 502
218.084: 502
218.084: 502
218.084: 502
218.085: start
218.565: a4.
218.771: a4.
219.236: a4.
219.442: a4.
219.652: a10.
220.113: a10.
220.321: a10.
220.803: a10.
221.008: a65535.
221.491: a91.
221.696: a91.
221.888: a91.
222.367: a91.
222.575: a91.
223.055: a91.
223.055: end
223.071: chkpt[4]=256
223.071: chkpt[9]=8192
223.072: chkpt[10]=2048
223.087: chkpt[32]=256
223.088: chkpt[39]=65535
223.089: chkpt[41]=16384
223.114: chkpt[69]=64
223.114: chkpt[91]=1024
223.115: 502
223.115: 502
223.115: 502
223.115: 502
223.116: 502
223.116: 502
223.116: 502
223.331: a91.
223.332: 502
223.332: 502
223.333: 502
223.333: 502
223.334: 502
223.334: 502
223.335: 502
223.336: start
223.794: a4.
224.005: a4.
224.196: a4.
224.676: a4.
224.898: a10.
225.380: a10.
225.587: a10.
226.064: a10.
226.288: a65535.
226.480: a91.
226.960: a91.
227.168: a91.
227.648: a91.
227.855: a91.
228.335: a91.
228.336: end
228.354: chkpt[4]=512
228.355: chkpt[9]=16384
228.356: chkpt[10]=4096
228.370: chkpt[32]=256
228.370: chkpt[41]=32768
228.371: chkpt[69]=64
228.392: chkpt[91]=2048
228.393: 502
228.393: 502
228.394: 502
228.394: 502
228.394: 502
228.395: 502
228.395: 502
228.616: a91.
228.617: 502
228.617: 502
228.617: 502
228.618: 502
228.618: 502
228.618: 502
228.618: 502
228.619: start
229.095: a4.
229.289: a4.
229.496: a4.
229.973: a4.
230.181: a10.
230.663: a10.
